"id_municipio","municipio","tipo","id_distrito","latitud","longitud","altitud","sist_norm_int"
"249","SAN MATEO YOLOXOCHITLAN","INTEROCEANICO","22","18.14222222","-96.86805556","1530","Sistemas normativos internos"
"250","SAN MATEO ETLATONGO","470","15","17.415","-97.27333333","2020","Sistemas normativos internos"
"251","SAN MATEO NEJAPAM","INTEROCEANICO","19","17.65583333","-98.41666667","1370","Sistemas normativos internos"
"252","SAN MATEO PEÑASCO","470","25","17.15","-97.53194444","1840","Sistemas normativos internos"
"253","SAN MATEO PIÑAS","470","17","15.99861111","-96.33527778","1020","Sistemas normativos internos"
"254","SAN MATEO RIO HONDO","INTEROCEANICO","13","16.14333333","-96.44777778","2340","Partidos politicos"
"255","SAN MATEO SINDIHUI","470","15","17.00194444","-97.35138889","1470","Sistemas normativos internos"
"256","SAN MATEO TLAPILTEPEC","470","2","17.80944444","-97.43194444","2220","Sistemas normativos internos"
"257","SAN MELCHOR BETAZA","E100","27","17.24944444","-96.15138889","1430","Sistemas normativos internos"
"258","SAN MIGUEL ACHIUTLA","470","25","17.30444444","-97.48833333","1940","Sistemas normativos internos"
"259","SAN MIGUEL AHUEHUETITLAN","INTEROCEANICO","19","17.67055556","-98.32138889","1370","Partidos politicos"
"260","SAN MIGUEL ALOAPAM","INTEROCEANICO","8","17.41111111","-96.6925","2280","Sistemas normativos internos"
"261","SAN MIGUEL AMATITLAN","INTEROCEANICO","7","17.89111111","-98.02388889","1580","Partidos politicos"
"262","SAN MIGUEL AMATLAN","INTEROCEANICO","8","17.27555556","-96.47166667","1990","Sistemas normativos internos"
"263","SAN MIGUEL COATLAN","INTEROCEANICO","13","16.19527778","-96.69388889","1900","Sistemas normativos internos"
"264","SAN MIGUEL CHICAHUA","470","15","17.63583333","-97.19472222","2300","Sistemas normativos internos"
"265","SAN MIGUEL CHIMALAPA","E100","10","16.71333333","-94.74777778","130","Sistemas normativos internos"
"266","SAN MIGUEL DEL PUERTO","470","17","15.9225","-96.17444444","350","Sistemas normativos internos"
"267","SAN MIGUEL DEL RIO","INTEROCEANICO","8","17.32083333","-96.56777778","1740","Sistemas normativos internos"
"268","SAN MIGUEL EJUTLA","470","5","16.58083333","-96.73944444","1440","Sistemas normativos internos"
"269","SAN MIGUEL EL GRANDE","470","25","17.04583333","-97.61944444","2480","Sistemas normativos internos"
"270","SAN MIGUEL HUAUTLA","470","15","17.74027778","-97.14305556","1950","Sistemas normativos internos"
